图片名称,食物名称,置信度,识别耗时(秒),热量(kcal),蛋白质(g),脂肪(g),碳水化合物(g)
img-0-13113t1.jpg,苦瓜炒豆腐,100.0%,0.05,180,12,8,10
img-0-13113t2.jpg,苦瓜炒豆腐,100.0%,0.05,180,12,8,10
img-0-13115t1.jpg,苦瓜炒豆腐,100.0%,0.05,180,12,8,10
img-0-13115t2.jpg,苦瓜炒豆腐,99.7%,0.05,180,12,8,10
img-0-13123t1.jpg,苦瓜炒豆腐,100.0%,0.04,180,12,8,10
img-0-13123t2.jpg,苦瓜炒豆腐,100.0%,0.01,180,12,8,10
img-0-13126t1.jpg,苦瓜炒豆腐,100.0%,0.01,180,12,8,10
img-0-13126t2.jpg,苦瓜炒豆腐,99.7%,0.01,180,12,8,10
img-0-13139t1.jpg,苦瓜炒豆腐,71.1%,0.01,180,12,8,10
img-0-13139t2.jpg,苦瓜炒豆腐,100.0%,0.01,180,12,8,10
img-0-13151t1.jpg,苦瓜炒豆腐,60.8%,0.01,180,12,8,10
img-0-13151t2.jpg,麻婆豆腐,61.4%,0.01,200,12,12,10
img-0-13159t1.jpg,苦瓜炒豆腐,98.6%,0.01,180,12,8,10
img-0-13159t2.jpg,苦瓜炒豆腐,100.0%,0.01,180,12,8,10
img-0-13163t1.jpg,苦瓜炒豆腐,84.8%,0.01,180,12,8,10
img-0-13163t2.jpg,地三鲜,71.4%,0.01,180,4,10,20
img-0-13170t1.jpg,苦瓜炒豆腐,100.0%,0.01,180,12,8,10
img-0-13170t2.jpg,苦瓜炒豆腐,100.0%,0.01,180,12,8,10
img-0-13175t1.jpg,苦瓜炒豆腐,99.0%,0.01,180,12,8,10
img-0-13175t2.jpg,苦瓜炒豆腐,99.0%,0.01,180,12,8,10
img-0-13194t1.jpg,苦瓜炒豆腐,99.9%,0.01,180,12,8,10
img-0-13194t2.jpg,苦瓜炒豆腐,99.0%,0.01,180,12,8,10
img-1-2282t1.jpg,泰式绿咖喱,99.9%,0.01,450,18,32,20
img-1-2282t2.jpg,芝士蛋糕,94.1%,0.01,320,6,22,25
img-1-2553t1.jpg,泰式绿咖喱,34.9%,0.01,450,18,32,20
img-1-2553t2.jpg,泰式绿咖喱,99.6%,0.01,450,18,32,20
img-1-3563t1.jpg,泰式绿咖喱,99.9%,0.01,450,18,32,20
img-1-3563t2.jpg,泰式绿咖喱,100.0%,0.01,450,18,32,20
